"user_id","section_id"
"0","0"
"0","0"
"0","0"
"530","1"
"530","2"
"530","3"
"530","4"
"530","5"
"530","6"
"530","7"
"530","8"
"530","9"
"530","10"
"531","12"
"531","13"
"531","14"
"531","15"
"531","16"
"531","17"
"532","18"
"532","19"
"533","20"
"533","21"
"529","1"
"529","2"
"529","3"
"529","4"
"529","5"
"529","6"
"529","7"
"529","8"
"529","9"
"529","10"
"529","12"
"529","13"
"529","14"
"529","15"
"529","16"
"529","17"
"534","18"
"534","19"
"534","20"
"534","21"
"536","1"
"536","21"
